yyyymm,Ret,Rfree,D/P
188301,-0.005136986301369939,0.003698181020805343,-2.896517973853597
188302,-0.022375215146299476,0.003609629362841522,-2.871087077470216
188303,0.012323943661971981,0.004347559845873363,-2.8808519975555686
188304,0.02086956521739136,0.003926939470545214,-2.899029228090755
188305,-0.017035775127768438,0.0035874914483505667,-2.8790667502005696
188306,0.008665511265164794,0.003698181020805343,-2.885230358395746
188307,-0.015463917525773141,0.003166871073022418,-2.8671871135408407
188308,-0.04537521815008738,0.003779353373938846,-2.8179915768090025
188309,0.010968921389396868,0.0040671462623212635,-2.8264550394410737
188310,-0.027124773960217063,0.0040671462623212635,-2.796515828648283
188311,0.014869888475836479,0.0038383878125813936,-2.808538599936036
188312,-0.02197802197802201,0.003698181020805343,-2.7838882774937144
188401,-0.029962546816479474,0.00324804342615592,-2.758632510745982
188402,0.027027027027027195,0.0031447331585314625,-2.790186263728666
188403,-0.00375939849624074,0.0030488021957373237,-2.7916369172104756
188404,-0.04528301886792452,0.003122595244040507,-2.750541077550124
188405,-0.08102766798418959,0.0033734916082713328,-2.6710030643364213
188406,-0.04086021505376347,0.0038826636415633035,-2.6345830492203373
188407,0.0,0.004030249738169672,-2.6399097107260623
188408,0.06278026905829592,0.003698181020805343,-2.705837461144528
188409,-0.03164556962025322,0.003698181020805343,-2.6790626642289577
188410,-0.03267973856209139,0.003698181020805343,-2.6512484574681245
188411,-0.020270270270270396,0.0034694225710654725,-2.6358899373094387
188412,-0.0022988505747125743,0.003329215779289423,-2.639057329615259
188501,-0.02304147465437778,0.003100457329549552,-2.6346331684008106
188502,0.030660377358490587,0.002960250537773502,-2.684418596568933
188503,0.0022883295194506825,0.0029381126232825468,-2.706339336698581
188504,-0.0022831050228310223,0.002569147381766627,-2.724081915200312
188505,-0.011441647597253968,0.002355147541687393,-2.7333680090865
188506,-0.004629629629629761,0.0022592165788932537,-2.749599204015082
188507,0.037209302325581506,0.002222320054741662,-2.807449447243537
188508,0.056053811659192876,0.002355147541687393,-2.8841491205081997
188509,-0.0127388535031846,0.002406802675499622,-2.8936027784776113
188510,0.05806451612903207,0.002591285296257582,-2.972825907345084
188511,0.0650406504065042,0.0029159747087915923,-3.0595585801831535
188512,-0.007633587786259555,0.002960250537773502,-3.0757749812275277
188601,0.0,0.002820043745997452,-3.082883520464822
188602,0.019230769230769162,0.002517492247954398,-3.108668583020275
188603,-0.02075471698113196,0.0024953543334634426,-3.0949034620157754
188604,-0.013487475915221592,0.0027757679170155422,-3.088584539006169
188605,-0.01953125000000011,0.002635561125239492,-3.0757417812474444
188606,0.045816733067729265,0.0024805957238028063,-3.127904046662474
188607,0.015238095238095273,0.0025470094672756715,-3.15044596362414
188608,0.007504690431519689,0.0034694225710654725,-3.164955629989427
188609,0.02607076350093096,0.003926939470545214,-3.1982194999425397
188610,0.025408348457350405,0.004111422091303173,-3.2308946652943744
188611,0.024778761061946764,0.004008111823678716,-3.262562453944775
188612,-0.02590673575129543,0.004045008347830308,-3.244011798139743
188701,-0.010638297872340385,0.003698181020805343,-3.222016953769062
188702,-0.007168458781361964,0.0031890089875133724,-3.2036493775369093
188703,0.023465703971119023,0.0035874914483505667,-3.2157941583307927
188704,0.022927689594356204,0.003609629362841522,-3.2275338876113153
188705,0.017241379310344973,0.0034841811807261092,-3.2338174048664
188706,-0.028813559322033888,0.0034251467420835617,-3.1938852955646264
188707,-0.02443280977312401,0.004207353054097314,-3.158566942674449
188708,-0.025044722719141266,0.004325421931382407,-3.1227319643152986
188709,-0.012844036697247763,0.004760800916371194,-3.0994419427782924
188710,-0.03345724907063197,0.004347559845873363,-3.0551556940247915
188711,0.019230769230769162,0.0038826636415633035,-3.0640515175314684
188712,-0.005660377358490565,0.0040671462623212635,-3.0483247236731614
188801,0.007590132827324458,0.003771974069108527,-3.0627094217218636
188802,-0.005649717514124131,0.0032185262068346464,-3.0635083531649965
188803,-0.037878787878787956,0.003491560485556427,-3.0318083300278005
188804,0.003937007874015741,0.0036243879725021597,-3.0427005689229403
188805,0.013725490196078383,0.003196388292343692,-3.0629306797930376
188806,-0.030947775628626717,0.0027757679170155422,-3.0385522707369192
188807,0.02594810379241519,0.002650319734900129,-3.071277974344514
188808,0.021400778210116878,0.002856940270149045,-3.0991898390657315
188809,0.024761904761904763,0.0035358363145383378,-3.1308581390116714
188810,-0.005576208178438735,0.0033808709131016514,-3.132526660862668
188811,-0.020560747663551315,0.0031447331585314625,-3.1186333458767574
188812,-0.019083969465648942,0.0033070778647984675,-3.1067290495260154
188901,0.01945525291828809,0.003070940110228279,-3.1294817924745035
188902,0.011450381679389166,0.0027757679170155422,-3.144801546004463
